event,operation,output_cipher,input_a,input_b
374,decrypt,0,138,0
375,decrypt,0,140,0
376,decrypt,0,154,0
377,decrypt,0,156,0
378,decrypt,0,170,0
379,decrypt,0,172,0
380,decrypt,0,186,0
381,decrypt,0,188,0
382,decrypt,0,202,0
383,decrypt,0,204,0
384,decrypt,0,218,0
385,decrypt,0,220,0
